2021,2,18,1025,1019,6,1308,1337,-29,UA,1211,N35271,LGA,IAH,208,1416,10,19,2021-02-18 10:00:00
2021,2,18,1025,1029,-4,1225,1302,-37,UA,405,N419UA,LGA,DEN,221,1620,10,29,2021-02-18 10:00:00
2021,2,18,1027,1030,-3,1353,1415,-22,VX,23,N842VA,JFK,SFO,364,2586,10,30,2021-02-18 10:00:00
2021,2,18,1028,1030,-2,1302,1254,8,DL,2343,N390DA,EWR,ATL,108,746,10,30,2021-02-18 10:00:00
2021,2,18,1028,1030,-2,1310,1338,-28,UA,100,N18223,EWR,FLL,147,1065,10,30,2021-02-18 10:00:00
2021,2,18,1029,1031,-2,1142,1150,-8,EV,4510,N48901,EWR,BUF,54,282,10,31,2021-02-18 10:00:00
2021,2,18,1033,1030,3,1254,1302,-8,FL,347,N919AT,LGA,ATL,113,762,10,30,2021-02-18 10:00:00
2021,2,18,1036,1040,-4,1332,1338,-6,UA,152,N79521,EWR,SAN,344,2425,10,40,2021-02-18 10:00:00
2021,2,18,1037,1038,-1,1226,1246,-20,EV,4255,N10156,EWR,CHS,91,628,10,38,2021-02-18 10:00:00
2021,2,18,1040,1041,-1,1246,1254,-8,EV,4463,N14923,EWR,IND,107,645,10,41,2021-02-18 10:00:00
2021,2,18,1040,1045,-5,1317,1331,-14,B6,545,N584JB,EWR,PBI,141,1023,10,45,2021-02-18 10:00:00
2021,2,18,1043,1030,13,1438,1355,43,AA,179,N374AA,JFK,SFO,387,2586,10,30,2021-02-18 10:00:00
2021,2,18,1044,1050,-6,1231,1250,-19,MQ,4589,N5PBMQ,LGA,DTW,82,502,10,50,2021-02-18 10:00:00
2021,2,18,1044,1040,4,1328,1337,-9,UA,764,N658UA,EWR,IAH,204,1400,10,40,2021-02-18 10:00:00
2021,2,18,1049,1040,9,1334,1345,-11,UA,225,N507UA,EWR,LAX,327,2454,10,40,2021-02-18 10:00:00
2021,2,18,1050,1021,29,1339,1342,-3,DL,1903,N935DL,LGA,SRQ,152,1047,10,21,2021-02-18 10:00:00
2021,2,18,1052,1020,32,1333,1330,3,AA,731,N505AA,LGA,DFW,203,1389,10,20,2021-02-18 10:00:00
2021,2,18,1053,1100,-7,1151,1209,-18,US,2124,N949UW,LGA,BOS,36,184,11,0,2021-02-18 11:00:00
