EWR,2021,5,17,6,66.02,35.06,31.66,320,16.11092,18.5401245176,0.0,1012.4,10.0,2021-05-17T05:00:00Z
EWR,2021,5,17,7,64.04,35.06,33.92,320,11.5078,13.242946083999998,0.0,1013.2,10.0,2021-05-17T06:00:00Z
EWR,2021,5,17,8,60.98,37.04,40.86,300,5.7539,6.621473041999999,0.0,1014.2,10.0,2021-05-17T07:00:00Z
EWR,2021,5,17,9,60.08,39.02,45.6,320,5.7539,6.621473041999999,0.0,1015.1,10.0,2021-05-17T08:00:00Z
EWR,2021,5,17,10,60.08,39.92,47.22,340,9.20624,10.594356867199998,0.0,1016.4,10.0,2021-05-17T09:00:00Z
EWR,2021,5,17,11,62.06,39.92,44.02,330,14.960139999999999,17.215829909199996,0.0,1017.2,10.0,2021-05-17T10:00:00Z
EWR,2021,5,17,12,62.96,39.02,41.18,330,12.658579999999999,14.567240692399997,0.0,1018,10.0,2021-05-17T11:00:00Z
EWR,2021,5,17,13,62.96,39.02,41.18,320,11.5078,13.242946083999998,0.0,1018.1,10.0,2021-05-17T12:00:00Z
EWR,2021,5,17,14,64.94,39.02,38.42,300,9.20624,10.594356867199998,0.0,1018.6,10.0,2021-05-17T13:00:00Z
EWR,2021,5,17,15,66.92,39.02,35.87,300,11.5078,13.242946083999998,0.0,1018.8,10.0,2021-05-17T14:00:00Z
EWR,2021,5,17,16,68,37.94,33.12,330,13.809359999999998,15.891535300799996,0.0,1018.7,10.0,2021-05-17T15:00:00Z
EWR,2021,5,17,17,69.08,37.94,31.92,300,12.658579999999999,14.567240692399997,0.0,1018.9,10.0,2021-05-17T16:00:00Z
EWR,2021,5,17,18,69.98,39.02,32.29,310,9.20624,10.594356867199998,0.0,1018.9,10.0,2021-05-17T17:00:00Z
EWR,2021,5,17,19,71.06,39.92,32.23, ,5.7539,6.621473041999999,0.0,1018.4,10.0,2021-05-17T18:00:00Z
EWR,2021,5,17,20,75.02,37.94,26.1,310,5.7539,6.621473041999999,0.0,1018.4,10.0,2021-05-17T19:00:00Z
EWR,2021,5,17,21,73.94,37.04,26.13,280,6.904679999999999,7.945767650399998,0.0,1018.6,10.0,2021-05-17T20:00:00Z
EWR,2021,5,17,22,73.04,35.96,25.8,270,9.20624,10.594356867199998,0.0,1018.8,10.0,2021-05-17T21:00:00Z
EWR,2021,5,17,23,71.96,35.96,26.76,310,9.20624,10.594356867199998,0.0,1019.7,10.0,2021-05-17T22:00:00Z
EWR,2021,5,18,0,68,42.08,38.91,50,4.60312,5.297178433599999,0.0,1020.7,10.0,2021-05-17T23:00:00Z
EWR,2021,5,18,1,68,42.08,38.91,60,9.20624,10.594356867199998,0.0,1021.7,10.0,2021-05-18T00:00:00Z
EWR,2021,5,18,2,66.92,41,38.74,70,3.4523399999999995,3.972883825199999,0.0,1022.1,10.0,2021-05-18T01:00:00Z
EWR,2021,5,18,3,64.04,42.98,46.22,140,3.4523399999999995,3.972883825199999,0.0,1022.6,10.0,2021-05-18T02:00:00Z
EWR,2021,5,18,4,60.98,44.96,55.52,190,3.4523399999999995,3.972883825199999,0.0,1022.7,10.0,2021-05-18T03:00:00Z
